TimeStamp,ON/OFF,Power_W,Current,Sauna Temperature,Humidity,Steam,Water Temperature,Cost,Price_EUR_kWh,T_set
2023-01-12 21:03:14.522352,1.0,887.68,3.86,44.6,99.9,86.45,57.86,3.851711638837155e-05,0.22811,47
2023-01-12 21:03:14.524873,1.0,1980.76,8.61,44.6,99.9,86.57,58.03,3.1640732317655554e-07,0.22811,47
2023-01-12 21:03:15.484707,0.0,389.33,1.69,44.6,99.9,86.81,58.11,2.367858921583172e-05,0.22811,47
2023-01-12 21:03:16.676674,1.0,43.75,0.19,44.6,99.9,86.37,57.86,3.3043353239409716e-06,0.22811,47
2023-01-12 21:03:17.862844,1.0,1979.0,8.6,44.7,99.9,86.62,58.35,0.00014874232094091666,0.22811,47
2023-01-12 21:03:19.054626,1.0,1971.27,8.57,44.7,99.9,86.52,58.35,0.0001488623114353515,0.22811,47
2023-01-12 21:03:20.240444,1.0,1959.39,8.52,44.7,99.9,86.67,57.95,0.00014722472418471453,0.22811,47
2023-01-12 21:03:21.432156,0.0,497.08,2.16,44.7,99.9,86.59,58.19,3.753525977805156e-05,0.22811,47
2023-01-12 21:03:22.618844,0.0,40.71,0.18,44.8,99.9,86.62,58.43,3.061113811381334e-06,0.22811,47
2023-01-12 21:03:23.810451,0.0,40.91,0.18,44.8,99.9,86.52,57.95,3.0889035586168612e-06,0.22811,47
2023-01-12 21:03:24.996028,0.0,40.53,0.18,44.8,99.9,86.67,58.03,3.0447258396164177e-06,0.22811,47
2023-01-12 21:03:26.188291,0.0,40.29,0.18,44.8,99.9,86.67,58.19,3.04376527220825e-06,0.22811,47
2023-01-12 21:03:27.374144,0.0,43.05,0.19,44.9,99.9,86.76,58.43,3.234788095300417e-06,0.22811,47
2023-01-12 21:03:28.566262,0.0,39.69,0.17,44.9,99.9,86.69,58.19,2.9980727577044996e-06,0.22811,47
2023-01-12 21:03:29.752023,0.0,39.45,0.17,44.9,99.9,86.74,58.19,2.9640531945720843e-06,0.22811,47
2023-01-12 21:03:30.943952,0.0,39.9,0.17,44.9,99.9,86.72,58.67,3.0134577431058335e-06,0.22811,47
2023-01-12 21:03:32.129847,0.0,41.06,0.18,45.0,99.9,87.01,58.43,3.0853682547102773e-06,0.22811,47
2023-01-12 21:03:33.321281,0.0,41.64,0.18,45.0,99.9,86.94,58.59,3.1435656459926676e-06,0.22811,47
2023-01-12 21:03:34.506859,0.0,40.53,0.18,45.1,99.9,86.91,58.67,3.0447284077548335e-06,0.22811,47
2023-01-12 21:03:35.698933,0.0,38.32,0.17,45.1,99.9,87.11,58.59,2.8944799126013336e-06,0.22811,47
2023-01-12 21:03:36.885237,0.0,40.75,0.18,45.2,99.9,87.01,58.43,3.063130019911111e-06,0.22811,47
2023-01-12 21:03:38.077296,0.0,41.96,0.18,45.2,99.9,87.13,58.75,3.169385409289001e-06,0.22811,47
2023-01-12 21:03:39.263264,0.0,41.39,0.18,45.2,99.9,87.13,58.83,3.110356870074222e-06,0.22811,47
2023-01-12 21:03:40.455083,0.0,43.28,0.19,45.2,99.9,87.13,58.83,3.2684314480153335e-06,0.22811,47
2023-01-12 21:03:41.641259,0.0,39.97,0.17,45.4,99.9,87.13,59.15,3.0041741489386665e-06,0.22811,47
2023-01-12 21:03:42.833216,0.0,40.8,0.18,45.4,99.9,87.2,58.43,3.0815028610599993e-06,0.22811,47
2023-01-12 21:03:44.018844,0.0,38.34,0.17,45.4,99.9,87.18,59.07,2.8803308728020004e-06,0.22811,47
2023-01-12 21:03:45.211236,0.0,40.24,0.17,45.4,99.9,87.28,58.75,3.040316870608e-06,0.22811,47
2023-01-12 21:03:46.397625,0.0,38.43,0.17,45.5,99.9,87.18,58.91,2.88894530438325e-06,0.22811,47
2023-01-12 21:03:47.588537,0.0,39.84,0.17,45.5,99.9,87.42,58.75,3.0063588952746667e-06,0.22811,47
2023-01-12 21:03:48.775385,0.0,39.32,0.17,45.5,99.9,87.3,58.99,2.9569939447359995e-06,0.22811,47
2023-01-12 21:03:49.967837,0.0,38.13,0.17,45.5,99.9,87.5,58.75,2.8810416407510005e-06,0.22811,47
2023-01-12 21:03:51.154913,0.0,41.33,0.18,45.6,99.9,87.64,59.32,3.108749680516333e-06,0.22811,47
2023-01-12 21:03:52.347146,0.0,39.36,0.17,45.6,99.9,87.5,59.64,2.973432281288001e-06,0.22811,47
2023-01-12 21:03:53.533666,0.0,41.08,0.18,45.8,99.9,87.5,59.23,3.0884979809377777e-06,0.22811,47
2023-01-12 21:03:54.726270,0.0,38.68,0.17,45.8,99.9,87.3,59.48,2.922971297683111e-06,0.22811,47
2023-01-12 21:03:55.912107,0.0,37.84,0.16,45.8,99.9,87.74,59.23,2.843268989491334e-06,0.22811,47
2023-01-12 21:03:57.103040,0.0,38.9,0.17,45.8,99.9,87.5,59.07,2.9354774905297225e-06,0.22811,47
2023-01-12 21:03:58.289122,0.0,38.51,0.17,46.0,99.9,87.74,59.15,2.8942101180333886e-06,0.22811,47
2023-01-12 21:03:59.480254,0.0,39.6,0.17,46.0,99.9,87.69,59.4,2.9888003257200003e-06,0.22811,47
2023-01-12 21:04:00.665652,0.0,41.77,0.18,46.1,99.9,87.77,59.4,3.1374043125196113e-06,0.22811,47
2023-01-12 21:04:01.855350,0.0,40.89,0.18,46.1,99.9,87.84,59.32,3.0824473391095e-06,0.22811,47
2023-01-12 21:04:03.041279,0.0,40.34,0.18,46.2,99.9,87.77,59.56,3.0313522603957223e-06,0.22811,47
2023-01-12 21:04:04.231314,0.0,40.58,0.18,46.2,99.9,87.64,59.56,3.059944862953611e-06,0.22811,47
2023-01-12 21:04:05.415034,0.0,39.6,0.17,46.2,99.9,87.69,59.4,2.9702020612000007e-06,0.22811,47
2023-01-12 21:04:06.605989,0.0,42.99,0.19,46.2,99.9,87.79,59.07,3.24417759713875e-06,0.22811,47
2023-01-12 21:04:07.790209,0.0,39.39,0.17,46.3,99.9,87.89,59.48,2.9556989414550005e-06,0.22811,47
2023-01-12 21:04:08.980250,0.0,43.57,0.19,46.3,99.9,87.89,59.88,3.2854231116279716e-06,0.22811,47
2023-01-12 21:04:10.164541,0.0,41.13,0.18,46.4,99.9,87.89,60.04,3.0864479836142504e-06,0.22811,47
2023-01-12 21:04:11.353257,0.0,43.23,0.19,46.4,99.9,87.89,60.12,3.256155731176334e-06,0.22811,47
2023-01-12 21:04:12.538276,0.0,43.28,0.19,46.5,99.9,87.84,59.23,3.2497832020597786e-06,0.22811,47
2023-01-12 21:04:13.728074,0.0,42.09,0.18,46.5,99.9,87.91,59.56,3.1731747079778337e-06,0.22811,47
2023-01-12 21:04:14.912955,0.0,41.47,0.18,46.6,99.9,87.77,59.48,3.1135123632271386e-06,0.22811,47
2023-01-12 21:04:16.103017,0.0,40.19,0.17,46.6,99.9,87.84,59.56,3.0306055752599437e-06,0.22811,47
2023-01-12 21:04:17.287998,0.0,38.85,0.17,46.6,99.9,87.81,59.96,2.9170524216954175e-06,0.22811,47
2023-01-12 21:04:18.478178,0.0,40.91,0.18,46.6,99.9,87.81,58.43,3.0852044653938887e-06,0.22811,47
2023-01-12 21:04:19.662922,0.0,41.01,0.18,46.7,99.9,87.74,59.48,3.0786201741606667e-06,0.22811,47
2023-01-12 21:04:20.852771,0.0,41.99,0.18,46.7,99.9,87.77,59.15,3.165771378285028e-06,0.22811,47
2023-01-12 21:04:22.037472,0.0,40.52,0.18,46.8,99.9,87.74,59.56,3.041725477738111e-06,0.22811,47
2023-01-12 21:04:23.227103,0.0,40.21,0.17,46.8,99.9,87.74,59.56,3.031015585876695e-06,0.22811,47
2023-01-12 21:04:24.411760,0.0,41.21,0.18,46.8,99.9,87.69,59.32,3.093406994946306e-06,0.22811,47
2023-01-12 21:04:25.600993,0.0,41.13,0.18,46.8,99.9,87.99,59.96,3.0993276102727502e-06,0.22811,47
2023-01-12 21:04:26.785347,0.0,40.99,0.18,46.8,99.9,87.94,59.56,3.0761058329529443e-06,0.22811,47
2023-01-12 21:04:27.975053,0.0,41.13,0.18,46.8,99.9,87.77,59.48,3.1005603224155e-06,0.22811,47
2023-01-12 21:04:29.159427,0.0,39.91,0.17,46.9,99.9,87.89,59.8,2.9951075127270555e-06,0.22811,47
2023-01-12 21:04:30.348775,0.0,44.87,0.2,46.9,99.9,87.79,59.96,3.3814801306121116e-06,0.22811,47
2023-01-12 21:04:31.533300,0.0,42.74,0.19,46.9,99.9,87.84,59.32,3.2078981621763892e-06,0.22811,47
2023-01-12 21:04:32.722786,0.0,39.79,0.17,46.9,99.9,87.79,59.48,2.998990553220389e-06,0.22811,47
2023-01-12 21:04:33.907671,0.0,40.33,0.18,47.0,99.9,87.81,58.91,3.027932903534861e-06,0.22811,47
2023-01-12 21:04:35.096355,0.0,41.06,0.18,47.0,99.9,87.5,59.56,3.092624455354e-06,0.22811,47
2023-01-12 21:04:36.281527,0.0,40.52,0.18,47.0,99.9,87.69,59.48,3.042934772488444e-06,0.22811,47
2023-01-12 21:04:37.470657,0.0,40.16,0.17,47.0,99.9,87.91,59.64,3.0259717119688887e-06,0.22811,47
2023-01-12 21:04:38.655603,0.0,41.43,0.18,47.0,99.9,87.74,59.8,3.1106798522905004e-06,0.22811,47
2023-01-12 21:04:39.844853,0.0,39.39,0.17,47.0,99.9,87.69,59.64,2.9682533364791667e-06,0.22811,47
2023-01-12 21:04:41.028776,0.0,43.1,0.19,47.0,99.9,87.91,59.23,3.2332743098175e-06,0.22811,47
2023-01-12 21:04:42.218728,0.0,39.39,0.17,47.0,99.9,87.89,59.64,2.9700054607946667e-06,0.22811,47
2023-01-12 21:04:43.403429,0.0,42.06,0.18,47.0,99.9,87.77,59.07,3.1573290620351663e-06,0.22811,47
2023-01-12 21:04:44.592760,0.0,43.32,0.19,47.0,99.9,87.81,59.32,3.2646228094003333e-06,0.22811,47
2023-01-12 21:04:45.777659,0.0,41.38,0.18,47.0,99.9,87.89,59.48,3.106802479063389e-06,0.22811,47
2023-01-12 21:04:46.966728,0.0,40.25,0.18,47.0,99.9,87.64,59.23,3.0325974488881946e-06,0.22811,47
2023-01-12 21:04:48.151738,0.0,41.76,0.18,47.0,99.9,87.59,59.56,3.1356265207599996e-06,0.22811,47
2023-01-12 21:04:49.340719,0.0,40.38,0.18,47.0,99.9,87.74,59.07,3.0421670137905e-06,0.22811,47
2023-01-12 21:04:50.525886,0.0,42.69,0.19,47.1,99.9,87.74,59.15,3.205881969487584e-06,0.22811,47
2023-01-12 21:04:51.716963,0.0,39.76,0.17,47.1,99.9,87.5,59.23,3.0007377224797774e-06,0.22811,47
2023-01-12 21:04:52.901701,0.0,42.12,0.18,47.0,99.9,87.86,59.32,3.161931846606e-06,0.22811,47
2023-01-12 21:04:54.091568,0.0,40.58,0.18,47.0,99.9,87.74,59.64,3.0595128834429444e-06,0.22811,47
2023-01-12 21:04:55.276736,0.0,41.3,0.18,47.0,99.9,87.45,59.48,3.1015000481733335e-06,0.22811,47
2023-01-12 21:04:56.467657,0.0,40.76,0.18,47.0,99.9,87.5,59.23,3.075806090076555e-06,0.22811,47
2023-01-12 21:04:57.652727,0.0,40.74,0.18,47.0,99.9,87.4,59.64,3.059192828638334e-06,0.22811,47
2023-01-12 21:04:58.843727,0.0,41.09,0.18,47.0,99.9,87.69,58.99,3.1009140335833336e-06,0.22811,47
2023-01-12 21:05:00.029206,0.0,42.25,0.18,47.0,99.9,87.59,59.15,3.1736746446256945e-06,0.22811,47
2023-01-12 21:05:01.220659,0.0,39.11,0.17,47.0,99.9,87.45,58.83,2.9526131853309165e-06,0.22811,47
2023-01-12 21:05:02.406583,0.0,39.17,0.17,47.1,99.9,87.79,59.56,2.943420114716334e-06,0.22811,47
2023-01-12 21:05:03.598679,0.0,41.0,0.18,47.1,99.9,87.42,59.15,3.0969693780444453e-06,0.22811,47
2023-01-12 21:05:04.784719,0.0,41.8,0.18,47.0,99.9,87.42,59.23,3.1413580633111107e-06,0.22811,47
2023-01-12 21:05:05.976756,0.0,40.35,0.18,47.0,99.9,87.35,59.32,3.0477202357845836e-06,0.22811,47
2023-01-12 21:05:07.163097,0.0,41.47,0.18,47.0,99.9,87.3,59.48,3.1173488059165834e-06,0.22811,47
2023-01-12 21:05:08.354447,0.0,40.42,0.18,47.0,99.9,87.5,58.99,3.0512479601027777e-06,0.22811,47
2023-01-12 21:05:09.540889,0.0,40.31,0.18,47.0,99.9,87.28,58.75,3.0304082119533894e-06,0.22811,47
2023-01-12 21:05:10.732677,0.0,39.04,0.17,47.0,99.9,87.45,59.88,2.9481572269297784e-06,0.22811,47
2023-01-12 21:05:11.919306,0.0,41.13,0.18,47.0,99.9,87.5,59.56,3.09254117809575e-06,0.22811,47
2023-01-12 21:05:13.110779,0.0,39.55,0.17,47.0,99.9,87.67,58.99,2.9858811481906937e-06,0.22811,47
2023-01-12 21:05:14.295985,0.0,38.76,0.17,47.0,99.9,87.64,59.48,2.9108473677726666e-06,0.22811,47
2023-01-12 21:05:15.486883,0.0,40.82,0.18,47.0,99.9,87.5,59.15,3.0802742834110007e-06,0.22811,47
2023-01-12 21:05:16.673177,0.0,40.34,0.18,47.0,99.9,87.45,59.07,3.0322852366321114e-06,0.22811,47
2023-01-12 21:05:17.865698,0.0,40.64,0.18,47.0,99.9,87.42,59.23,3.0708708972773333e-06,0.22811,47
2023-01-12 21:05:19.051972,0.0,41.37,0.18,47.0,99.9,87.67,59.23,3.109656056592167e-06,0.22811,47
